mibig_accession,compounds,accession
BGC0002117,potashchelin A|potashchelin B|potashchelin C|potashchelin D,WJPH01000003.1
BGC0002118,palmerolide A|palmerolide B|palmerolide C|palmerolide F|palmerolide G,JAGGDC010000009.1
BGC0002119,palmerolide D|palmerolide H,JAGGDC010000008.1
BGC0002120,nocathioamide A,JABMCZ010000005.1
BGC0002122,gramicidin S,LGUG01000004.1
BGC0002123,pseudovibriamide A1|pseudovibriamide B1|pseudovibriamide A2|pseudovibriamide A3|pseudovibriamide A4|pseudovibriamide B2|pseudovibriamide A5|pseudovibriamide A6|pseudovibriamide B3|pseudovibriamide B4|pseudovibriamide B6|pseudovibriamide B5,CP074128.1
BGC0002124,SF2487,CP053892.1
BGC0002125,FR900359,MT876545.1
BGC0002126,hypeptin,CP072597.1
BGC0002127,"flaviolin|1,3,6,8-tetrahydroxynaphthalene",AL645882.2
BGC0002128,5-dimethylallylindole-3-acetonitrile,AL645882.2
BGC0002129,metathramycin|premetathramycin,MW512268.1
BGC0002130,cacaoidin,MT210103.1
BGC0002131,aurantoside A,JAHBNG010000012.1
BGC0002132,group 1 methanobactin,NZ_KB900627.1
BGC0002133,group 1 methanobactin,NZ_AZUO01000002.1
BGC0002134,leupeptin A|leupeptin B|leupeptin D|leupeptin C,FN667741.1
BGC0002135,bovienimide A|bovienimide B,NC_013892.1
BGC0002136,janustatin A|janustatin A'|janustatin B|janustatin C,NZ_CP007142.1
BGC0002137,mutaxanthene A|mutaxanthene B|mutaxanthene C,NZ_JOIQ01000020.1
BGC0002138,fuelimycin A|fuelimicin B|fuelimicin C,NSJV01000558.1
BGC0002139,burnettiene A|preburnettiene B|preburnettiene A,SPNV01000211.1
BGC0002140,galtamycin C|galtamycin D,JAHTGP010000001.1
BGC0002141,trioxacarcin A,KP410250.1
BGC0002142,gargantulide B|gargantulide C,CP059997.1
BGC0002143,griseusin,CP071044.1
BGC0002144,phazolicin,NZ_AMCP01000684.1
BGC0002146,FR901483,MW322046.1
BGC0002147,bohemamine A|bohemamine B|bohemamine C,LIVV01000003.1
BGC0002148,guanitoxin,CP080598.1
BGC0002149,"14-(N,N-dimethylleucyloxy)paspalinine|14-(leucyloxy)paspalinine|14-hydroxypaspalinine",OK546695.1
BGC0002150,triculamin,JAFMOF010000002.1
BGC0002151,alboverticillin,CP071595.1
BGC0002152,toxoflavin,CP000076.1
BGC0002153,lasonolide A,ON409579.1
BGC0002154,"1,3,5,8-tetrahydroxynapthalene|1-(alpha-l-(2-O-methyl)-6-deoxymannopyranosyloxy)-3,6,8-trimethoxynaphthalene",CM001232.1
BGC0002155,nectriapyrone C|nectriapyrone D|nectriapyrone,CM001235.1
BGC0002156,"1,3,6,8-tetrahydroxynaphthalene",JH932188.1
BGC0002157,(-)-ditryptophenaline,CP044618.1
BGC0002158,tenuazonic acid,CM001233.1
BGC0002159,lagopodin B|lagopodin A,AACS02000009.1
BGC0002160,aspergillicin A|aspergillicin F|aspergillicin G,CP044616.1
BGC0002161,scytalone|T3HN,KI912112.1
BGC0002162,sesterfisherol|sesterfisheric acid|compound 6|compound 7a|compound 5|compound 8,DS027698.1
BGC0002163,fusatin|fusatinic acid|8-oxo-fusatin|8-oxo-isopentenyladenine,CM003200.1
BGC0002164,peramine,AB205145.1
BGC0002165,betaenone C|probetaenone I|stemphyloxin II|compound 4|compound 6|compound 7|compound 9|compound 3|dehydroprobetaenone I|compound 5,CH445335.1
BGC0002166,peramine|intermediate 1|intermediate 2,MH938357.1
BGC0002167,"actinopolymorphol C|morpholine containing hemiacetal piperazine compound|piperazine compound 2|piperazine compound 1|3-(p-hydroxyphenyl)-1,2-propanediol|N,N-dioxide containing derivate|O-sulfonated actinopolymorphol C|C-3 sulfonylated derivative",CP059871.1
BGC0002168,decumbenone a|calbistrin A|calbistrin C|decumbenone B|decumbenone c|dioic acid moiety,MW315913.1
BGC0002169,acurin A,KV878980.1
BGC0002170,4-methyl-5-dimethyltetradecahexaene-β-ketolactone|4-methyl-5-methylheptatriene-β-ketolactone,LC492132.1
BGC0002171,pyrophen|campyrone B,ACJE01000002.1
BGC0002172,fusatrixin|fusapentaxin|fusaoctaxin A,CM000576.1
BGC0002173,"fumihopaside A|compound 3|21-β-H-hopane-3beta, 22-diol",DS499598.1
BGC0002174,ε-Poly-L-lysine,LC517046.1
BGC0002175,YWA1,BA000052.1
BGC0002176,culmorin|(+)-juniperol(longiborneol)|15-acetyldeoxynivalenol,CM000574.1
BGC0002177,ustilaginoidin N|ustilaginoidin O|ustilaginoidin M|ustilaginoidin A|ustilaginoidin F|ustilaginoidin E|ustilaginoidin D|ustilaginoidin G,JHTR01000008.1
BGC0002178,gramillin A|gramillin B,CM000574.1
BGC0002179,tentoxin,CP061875.1
BGC0002180,"(+)-asperlin|(2Z,4Z,6E)-octa-2,4,6-trienoic acid",BN001306.1
BGC0002181,pleuromutilin,LC314149.1
BGC0002182,viridin,LQCH01000001.1
BGC0002183,enterobactin,NREG01000002.1
BGC0002184,ophiobolin C|zizanin-A,AAKD03000003.1
BGC0002185,gregatin A,LC522971.1
BGC0002186,fusaristatin A,CM000575.1
BGC0002187,monorden D|monocillin IV|monocillin VI|monocillin VII|pochonin M|monocillin V|monocillin II,CM008060.1
BGC0002188,W493 B|W493 A,CM003198.1
BGC0002189,fusaristatin A,CBMF010000366.1
BGC0002190,sorbicillin|2'3'-dihydrosorbicillin|sorbicillinol|oxosorbicillinol|bisvertinolone (spelled bisvertinolon in paper)|dihydrobisvertinolone|tetrahydrobisvertinolone|bisorbicillinol|2'3'-dihydrosorbicillinol,JPKY01000049.1
BGC0002191,prolipyrone B|gibepyrone D,CM000575.1
BGC0002192,FR901512,BDMC01000041.1
BGC0002193,phenguignardic acid,CH476606.1
BGC0002194,epipyrone A,KZ107846.1
BGC0002195,kojic acid,BA000053.1
BGC0002196,clavatol,MK360918.1
BGC0002197,terrestric acid,MK360919.1
BGC0002198,nanangelenin B|terreazepine,MT376588.1
BGC0002199,nanangelenin A,MT024570.1
BGC0002200,aurovertin E|aurovertin D|aurovertin M|aurovertin J|aurovertin A,WBSA01000012.1
BGC0002201,victorin,AMCY02000007.1
BGC0002202,victorin,AMCY02000016.1
BGC0002203,beauveriolide B|beauveriolide C|beauveriolide D,JH725181.1
BGC0002204,flavichalasine F|flavichalasine G|aspochalasin C|aspochalasin E|aspochalasin M|TMC-169|aspergillin PZ,MT586757.1
BGC0002205,phomacin D|phomacin E,CH445325.1
BGC0002206,harziphilone|t22azaphilone|isoharziphilone-1|isoharziphilone-2|compound 4|compound 1,LVVK01000021.1
BGC0002207,psilocybin,NHYD01003033.1
BGC0002208,oxepinamide F,JOMC01000153.1
BGC0002209,ustethylin A,JOMC01000079.1
BGC0002210,pyranoviolin A,BR001648.1
BGC0002211,HEx-pks1 polyketide,KV441552.1
BGC0002212,HEx-pks15 polyketide,AWSO01000045.1
BGC0002213,HEx-pks16 polyketide,JH687542.1
BGC0002214,HEx-pks17 polyketide,KN839868.1
BGC0002215,HEx-pks23 polyketide,KE720645.1
BGC0002216,HEx-tc1 terpene,ABDF02000086.1
BGC0002217,HEx-tc3 terpene,FQ790293.1
BGC0002218,"(-)-Cyatha-3,12-diene",NSJX01000009.1
BGC0002219,(-)-(R)-nephthenol,JH687388.1
BGC0002220,Ent-kauren-16alpha-ol,JH687542.1
BGC0002221,ent-kauren-16alpha-ol,GL945430.1
BGC0002222,zopfiellin,LC516887.1
BGC0002223,scytalidin,MT724050.1
BGC0002224,zopfiellin,MT724049.1
BGC0002225,aculene A|aculene B|aculene C|asperaculane A|asperaculane B|aculene D,KV878977.1
BGC0002226,acu-dioxomorpholine B|acu-dioxomorpholine A,KV878985.1
BGC0002227,AKML B|AKML D|AKML A|AKML C,DF126453.1
BGC0002228,CIML B|CIML A|CIML D|CIML C,LFIW01000394.1
BGC0002229,6-MSA|aculin A,KV878982.1
BGC0002230,tolypyridone C,MT127616.1
BGC0002231,fusaric acid,CM000580.1
BGC0002232,ergotamine,CAGA01000020.1
BGC0002233,trichoxide,ABDF02000086.1
BGC0002234,flavoglaucin,KK088422.1
BGC0002235,ACE1,CM001232.1
BGC0002236,8-methyldiaporthin,AP007175.1
BGC0002237,dichlorodiaporthin,AP007164.1
BGC0002238,"2,4'-dihydroxy-3'-methoxypropiophenone",AP007162.1
BGC0002239,GKK1032 A2|pyrrocidine A|pyrrocidine B,MW690134.1
BGC0002240,BAB|BAA,JNNZ01000213.1
BGC0002241,ywa1,MSJH02000815.1
BGC0002242,oxepinamide D,JOMC01000058.1
BGC0002243,biruloquinone,AUPP01000053.1
BGC0002244,"3'-methoxy-1,2-dehydropenicillide|pestalotiollide B|pestalotiollide C|1,2-dehydropenicillide|3-methoxy-1,2-dehydropenicillide|1,2-epoxy-3,4-didehydropenicillide",JAANBA010000208.1
BGC0002245,terpestacin|preterpestacin 3|preterpestacin 2|preterpestacin 1,KB445573.1
BGC0002246,naematolin,KN817616.1
BGC0002247,chaetoconvosins B|chaetoconvosins A|chamiside A|naematolin,SRKS01000003.1
BGC0002248,flavunoidine,CP059868.1
BGC0002249,phaeospelide A,QYRS01000001.1
BGC0002250,triticone D|triticone E|triticone A|triticone B|triticone F|triticone C,DS231617.1
BGC0002251,astin G|astin A|astin C|astin B|astin H|astin D|astin F,UYJD01000020.1
BGC0002252,δ 6-protoilludene|bovistol B|bovistol D|strossmayerin|illudin c|illudin c3|prebovistol,FTPT01000098.1
BGC0002253,waikikiamide A|waikikiamide B|waikikiamide C|(+)-semivioxanthin|semivioxanthin,MT457560.1
BGC0002254,notoamide F|(+)-semivioxanthin|waikikiamide B|waikikiamide C|notoamide A|waikikiamide A,MT457561.1
BGC0002255,lijiquinone,KT874412.1
BGC0002256,fusarochromanone|desacetylfusarochromene|fusarochromene|4-hydroxykynurenine,BK013344.1
BGC0002257,rufoschweinitzin,MN628571.1
BGC0002258,shimalactone A|shimalactone B,LC462123.1
BGC0002259,beauveriolide I|beauveriolide III,JH126399.1
BGC0002260,trichobrasilenol|xylarenic acid B|brasilane A|brasilane F|brasilane E|brasilane D,MT383109.1
BGC0002261,lucilactaene,LC515193.1
BGC0002262,trienylfuranol A|sporothriolide|dihydrosporothriolide|deoxysporothric acid|dihydroisosporothric acid|sporothric acid|isosporothric acid|sporochartine B,MT889334.1
BGC0002263,spiromarmycin,WXTY01000002.1
BGC0002264,hancockiamide E|hancockiamide B|hancockiamide C|hancockiamide D|hancockiamide A|hancockiamide F,MBFL02000005.1
BGC0002265,atranorin,JAEUBA010000024.1
BGC0002266,calidoustene A|calidoustene B|calidoustene C,CDMC01000002.1
BGC0002267,azasperpyranone A|azasperpyranone B|azasperpyranone C|azasperpyranone D|azasperpyranone E|azasperpyranone F|azasperpyranone G|azasperpyranone H,CH476604.1
BGC0002268,"CJ-16,173|CJ-15,696|citridone B|citridone A|citridone B'",MT603584.1
BGC0002269,MCA17-1,WBSA01000009.1
BGC0002270,swainsonine,ADNJ02000001.1
BGC0002271,asterriquinone CT5,CH476594.1
BGC0002272,asterrelenin|epi-aszonalenin A,CH476610.1
BGC0002273,butyrolactone III|butyrolactone I,CH476597.1
BGC0002274,aspulvinone H|aspulvinone B1,CH476596.1
BGC0002275,pyrophen|campyrone B,KZ821395.1
BGC0002276,choline,CH236925.1
BGC0002277,atromentin,JQ681152.1
BGC0002278,"brasiliamide I|brasiliamide A|brasiliamide B|2,2-dibenzylpiperazine|brasiliamide D",CDHK01000003.1
BGC0002279,δ-6 protoilludene,JH814846.1
BGC0002280,δ-6 protoilludene,AHIW01001288.1
BGC0002281,sambutoxin,BCHB01000008.1
BGC0002282,formycin A,WBOF01000001.1
BGC0002283,sodorifen,RBLL01000001.1
BGC0002284,corynecin III|corynecin I|corynecin II,CP023720.1
BGC0002285,aborycin,MKCP01000045.1
BGC0002286,ririwpeptide A|ririwpeptide B|ririwpeptide C,BX470251.1
BGC0002287,mutanocyclin|leuvalin|tyrvalin,MK144293.1
BGC0002288,B|ashimides A|ashimide A|ashimide B,CP054920.1
BGC0002289,LP2,LN831790.1
BGC0002290,biscognienyne B|eutypinic acid|compound 3|4-hydroxy-3-prenylbenzoic acid|prenylhydroquinone|compound 15|compound 8|compound 7|compound 6|compound 11|compound 12|pestalodiol E,MT109335.1
BGC0002291,efomycin K|efomycin L,CP025018.1
BGC0002292,pyrazofurin,MN305320.1
BGC0002293,ohmyungsamycin A|ohmyungsamycin B,MN480430.1
BGC0002294,streptozotocin,MK440296.1
BGC0002295,minimycin,MK122964.1
BGC0002296,vatiamide A|vatiamide B|vatiamide C|vatiamide D|vatiamide E|vatiamide F,MK618714.1
BGC0002297,MC-LR|MC-LHty|MC-HphHty|MC-LHph|MC-HphHph,MK870090.1
BGC0002298,lassomycin-like peptide,CP001819.1
BGC0002299,β-ethynylserine,CP003229.1
BGC0002300,albomycin delta2,JN252488.1
BGC0002301,(P)-ustilaginoidin A,MK449412.1
BGC0002302,glucorhamnan,AAYG02000032.1
BGC0002303,pristinin A3,CP011340.1
BGC0002304,varicidin A,MK376933.1
BGC0002305,legonoxamine A|desferrioxamine B|legonoxamine B,MN509302.1
BGC0002306,freyrasin,NZ_GL905390.1
BGC0002307,humidimycin,MN956991.1
BGC0002308,camporidine A|camporidine B,MK234900.1
BGC0002309,cattleyene,FQ859185.1
BGC0002310,birimositide,MT037000.1
BGC0002311,cutimycin,CP025935.1
BGC0002312,ubonodin,LPCD01000022.1
BGC0002313,streptozotocin,MK303572.1
BGC0002314,corbomycin,CP029617.1
BGC0002315,accramycin A,MN477201.1
BGC0002316,cebulantin,MK423958.1
BGC0002317,herbicolin O|mcceh252|pantocin A,LIME01000008.1
BGC0002318,canucin A|canucin B,KQ948669.1
BGC0002319,salinipeptin A|salinipeptin B|salinipeptin C|salinipeptin D,MG788286.1
BGC0002320,conidiogenone,AM920435.1
BGC0002321,pulcherriminic acid|pulcherrimin|cyclodileucine|compound 3,CP034458.1
BGC0002322,citrocin,CDHL01000044.1
BGC0002323,nisin J,MN602039.1
BGC0002324,myxochelin B|myxochelin N|myxochelin O|myxochelin P|myxochelin Q|myxochelin A,CP069338.1
BGC0002325,mycetohabin-16,FR687359.1
BGC0002326,endopyrrole B|endopyrrole C|endopyrrole A,MN081797.1
BGC0002327,bolagladin A|bolagladin B,MT844061.1
BGC0002328,Rc-AIP1,CP001348.1
BGC0002329,trinickiabactin,VJZF01000001.1
BGC0002330,landornamide A,MN724926.1
BGC0002331,labradorin 1|pimprinine|labradorin 2,CT573326.1
BGC0002332,tetraketide resorcinols,MK988560.1
BGC0002333,lucensomycin,MW175861.1
BGC0002334,heptyltyrazolone|nonyltyrazolone|undecyltyrazolone|(Z)-6-undecenyltyrazolone|(Z)-heptylphenazolone,AHCD03000035.1
BGC0002335,bolagladin A|bolagladin B,UZVS01000001.1
BGC0002336,gladiochelin A1|gladiochelin B2,NZ_CADEQC010000001.1
BGC0002337,class IV lanthipeptide|SflA,NZ_JOIU01000038.1
BGC0002338,sorangipyranone,MW115850.1
BGC0002339,2-hydroxysorangiadenosine,MT520811.1
BGC0002340,pyrroloformamide A|pyrroloformamide B|pyrroloformamide D|pyrroloformamide C,JACSCH020000013.1
BGC0002341,"3,5-dibromo-p-anisic acid",CP043547.1
BGC0002342,myxofacycline C|myxofacycline D|myxofacycline G|myxofacycline E|myxofacycline A|myxofacycline F|myxofacycline B,MT513750.1
BGC0002343,ammosester A|ammosester B|ammosester C|ammosamaic acid cogener,LFBV01000006.1
BGC0002344,A50926 A|A50926 B,CP068985.1
BGC0002345,hydrogen cyanide,CABVHD010000039.1
BGC0002346,kyamicin,MK251553.1
BGC0002347,cyanogramide|cyanogramide B|cyanogramide C|cyanogramide D,MK388866.1
BGC0002348,aspulvinone E,CH476597.1
BGC0002349,epemicin B|epemicin A,CP073318.1
BGC0002350,bleomycin A2|bleomycin B2,CP072827.1
BGC0002351,thanafactin A,MT431590.1
BGC0002352,terpenibactin A|terpenibactin B|terpenibactin C,LWGR01000021.1
BGC0002353,sch40832|Sch 40832,CP058905.1
BGC0002354,huimycin,CP007155.1
BGC0002355,tetrafibricin,LC208006.1
BGC0002356,mediomycin A,LC208005.1
BGC0002357,neomediomycin B,LC208004.1
BGC0002358,cyclofaulknamycin,CP004370.1
BGC0002359,dudomycin A,VJOK01000001.1
BGC0002360,depsibosamycin B|depsibosamycin C|depsibosamycin D,MW740414.1
BGC0002361,baikalomycin B|baikalomycin A|baikalomycin C,SPQF01000031.1
BGC0002362,loseolamycin A1|loseolamycin A2,MT904273.1
BGC0002363,berninamycin K|berninamycin J|berninamycin A|berninamycin B,MT362006.1
BGC0002364,trichostatin RK,MH817137.1
BGC0002365,10-epi-HSAF|10-epi-3-deOH-HSAF|10-epi-maltophilin|10-epi-xanthobaccin C|10-epi-hydroxymaltophilin|10-epi-FI-2,MN234160.1
BGC0002366,enterocin|neoenterocin A|neoenterocin B,MK388865.1
BGC0002367,rotihibin A,FN554889.1
BGC0002368,21R-citrinadin A|aetokthonotoxin,BCKA01000016.1
BGC0002369,maduralactomycin A|maduralactomycin B|actinospirol A|actinospirol B,MTBP01000002.1
BGC0002370,zelkovamycin B|zelkovamycin C|zelkovamycin D|zelkovamycin E,CP059572.1
BGC0002371,pseudovibriamide A3|pseudovibriamide A4|pseudovibriamide B2|pseudovibriamide A5|pseudovibriamide A1|pseudovibriamide A2|pseudovibriamide A6|pseudovibriamide B3|pseudovibriamide B4|pseudovibriamide B1,CP074128.1
BGC0002372,marinoterpin B|marinoterpin A|marinoterpin C,MW452943.1
BGC0002373,bonnevillamide D|bonnevillamide E,MW590581.1
BGC0002374,pulvomycin B|pulvomycin C|pulvomycin D,MT239445.1
BGC0002375,cladosporiumin I|cladosporiumin J,QNVK01000015.1
BGC0002376,bombyxamycin A|bombyxamycin B,MK433001.1
BGC0002377,WS9326B|WS9326A|WS9326G|WS9326F,MH243323.1
BGC0002378,coprisamide C|coprisamide D,MT813120.1
BGC0002379,MA026,AP023348.1
BGC0002380,microviridin 1777,SRLN01000012.1
BGC0002381,tambjamine BE-18591,NZ_JODZ01000004.1
BGC0002382,grimoviridin,FIZY01000027.1
BGC0002383,kinanthraquinone B|kinanthraquinone,AP018365.1
BGC0002384,lysocin E,MT410681.1
BGC0002385,dumulmycin|shuangdaolide A|shuangdaolide C|shuangdaolide B|shuangdaolide D,MZ150741.1
BGC0002386,cyclo(n-Me-L-Leu-L-Val)|cyclo(n-Me-L-Leu-L-Leu)|cyclo(n-Me-L-Leu-L-Ile),CP003969.1
BGC0002387,yangpumicin A,FMIA01000002.1
BGC0002388,oryzalides|phytocassanes,AP014958.1
BGC0002389,β-bisabolene|β-macrocarpene,GPC_000007952.1
BGC0002390,zealexin A1,GPC_000007947.1
BGC0002391,zealexin B2|zealexin C2,GPC_000007943.1
BGC0002392,"5,10-diketo-casbene",AP014963.1
BGC0002393,"casbene|5a-hydroxy-casbene|5-keto-casbene|5-keto-7,8-epoxy-casbene|neocembrene|5-keto-neocembrene",EQ973781.1
BGC0002394,"taxa-4(5),11(12)-diene|taxa-4(20),11(12)-diene",CM034154.1
BGC0002395,hordediene|11-hydroxy-hordetriene|hordetriene,GPC_000011790.1
BGC0002396,tanshinones,CM031491.1
BGC0002397,astallatene,CP002686.1
BGC0002398,ent-quiannuatene,CP002686.1
BGC0002399,caprutriene,KB870807.1
BGC0002400,boleracene,GPC_000001832.1
BGC0002401,euphol,CP002686.1
BGC0002402,yossosides,KQ150485.1
BGC0002403,β-Diketones,KU721941.1
BGC0002404,falcarindiol,GPC_000003970.1
BGC0002405,mid-chain acyl sugars,GPC_000003965.1
BGC0002406,hydroxycinnamoyltyramine,AP014966.1
BGC0002407,angustmycin A|angustmycin C,BLAG01000004.1
BGC0002408,malleobactin X,WXXL01000019.1
BGC0002409,frankobactin A1|frankobactin A2|frankobactin A3|frankobactin B1|frankobactin B2|frankobactin B3|frankobactin C1,JADBID010000001.1
BGC0002410,frankobactin A1|frankobactin A2|frankobactin A3|frankobactin B1|frankobactin B2|frankobactin B3|frankobactin C1,JADBID010000001.1
BGC0002411,cyanochelin A,CP003549.1
BGC0002412,holomycin,JMIB01000043.1
BGC0002413,frederiksenibactin,KN150731.1
BGC0002414,trichrysobactin|cyclic trichrysobactin|chrysobactin|dichrysobactin,JAFCAF010000006.1
BGC0002415,vanchrobactin|trivanchrobactin|divanchrobactin,CP030789.1
BGC0002416,variobactin A|variobactin B,KT362218.1
BGC0002417,variochelin A|variochelin B,CP003911.1
BGC0002418,pacifibactin,CP004387.1
BGC0002419,acidobactin A|acidobactin B,CP000512.1
BGC0002420,vacidobactin A|vacidobactin B,CP001635.1
BGC0002421,malleobactin LB400,CP000271.1
BGC0002422,histicorrugatin,LT629691.1
BGC0002423,arsinothricin,JAGSIB010000059.1
BGC0002424,saccharochelin A|saccharochelin B|saccharochelin C|saccharochelin D|saccharochelin E|saccharochelin F|saccharochelin G|saccharochelin H,MW298647.1
BGC0002425,stlassin,MZ182273.1
BGC0002426,deschlorosvetamycin A|svetamycin H|svetamycin A,MW810086.1
BGC0002427,subglutinol A|subglutinol B,ADNJ02000014.1
BGC0002428,DDP-13|DDP-14,CM000575.1
BGC0002429,higginsianin B,CM004458.1
BGC0002430,gausemycin A|gausemycin B,MZ394730.1
BGC0002431,maduramicin,MN272733.1
BGC0002432,laterocidine,CP007806.1
BGC0002433,azotobactin D,CP001157.1
BGC0002434,clifednamide D|clifednamide E|clifednamide F|clifednamide G|clifednamide H|clifednamide I|clifednamide J,MT419890.1
BGC0002435,coformycin|aristeromycin,FMCW01000024.1
BGC0002436,coformycin,KY313601.1
BGC0002437,thermoactinoamide A,LSVF01000006.1
BGC0002438,sporidesmin A,MT353658.1
BGC0002439,diastaphenazine|izumiphenazine C,MK685983.1
BGC0002440,longicatenamide B|longicatenamide C|longicatenamide A|longicatenamide D,MW560484.1
BGC0002441,o-dialkylbenzene 1|o-dialkylbenzene 2,LC595634.1
BGC0002442,toyoncin,MT795152.1
BGC0002443,mycemycin C|mycemycin A|mycemycin B,MG837055.1
BGC0002444,epoxy-Janthitrems,MN508661.1
BGC0002445,armillyl orsellinate|8α-hydroxy-6-protoilludene,MT277003.1
BGC0002446,ionostatin,MT571494.1
BGC0002447,cerecyclin,MH037333.1
BGC0002448,Q6402A,LC535008.1
BGC0002449,sarasinoside,MT026193.1
BGC0002450,sarasinoside,MT026194.1
BGC0002451,inthomycin B,MN624145.1
BGC0002452,leucomycin,LC496468.1
BGC0002453,ansaseomycin A|ansaseomycin B,MK599163.1
BGC0002454,venturicidin D|venturicidin E|venturicidin F|venturicidin A,MT361594.1
BGC0002455,lagriene,LT797838.1
BGC0002456,alchivemycin A|alchivemycin B,MW490597.1
BGC0002457,alazopeptin,LC593325.1
BGC0002458,alazopeptin,LC593326.1
BGC0002459,preterpestacin I,MN642086.1
BGC0002460,loonamycin A|loonamycin B|loonamycin C,MT371051.1
BGC0002461,aureonuclemycin,MH025886.1
BGC0002462,coformycin,MK830994.1
BGC0002463,staphyloferrin B,LS483365.1
BGC0002464,alcaligin,NZ_CP039022.1
BGC0002465,amphibactin E|amphibactin H|amphibactin I,AM286690.1
BGC0002466,peucechelin,CP022438.1
BGC0002467,thermochelin,NZ_KE386603.1
BGC0002468,anguibactin,AY312585.1
BGC0002469,woodybactin A|woodybactin B|woodybactin C|woodybactin D,CP000961.1
BGC0002470,synechobactin C9|synechobactin C11|synechobactin 13|synechobactin 14|synechobactin 16|synechobactin A|synechobactin B|synechobactin C,CP000957.1
BGC0002471,baumannoferrin A|baumannoferrin B,CU459141.1
BGC0002472,ulbactin F|ulbactin G,NZ_BDFB01000007.1
BGC0002473,propanochelin|butanochelin|pentanochelin,NZ_KB892261.1
BGC0002474,agrobactin,AB083344.2
BGC0002475,enantio-pyochelin,EU088199.1
BGC0002476,enterobactin,U00096.3
BGC0002477,thioangucycline A|thioangucycline B,LIPB01000001.1
BGC0002478,rubiginone A2|rubiginone J|rubiginone K|rubiginone L|rubiginone M|rubiginone N|ochromycinone|rubiginone B2,LIPF01000008.1
BGC0002479,miharamycin B|miharamycin A,MN850873.1
BGC0002480,chlorosphaerolactylate D|chlorosphaerolactylate A|chlorosphaerolactylate B|chlorosphaerolactylate C,JACJUZ010000001.1
BGC0002481,scytodecamide,MN265868.1
BGC0002482,tjipanazole D|tjipanazole I|tjipanazole L|tjipanazole K|tjipanazole M,MT078730.1
BGC0002483,usnic acid,MG777490.1
BGC0002484,scytocyclamide A|scytocyclamide B|scytocyclamide B3|scytocyclamide C|scytocyclamide A2|scytocyclamide B2,KQ976354.1
BGC0002485,muscoride A|muscoride B,MK806443.1
BGC0002486,tolypamide,JH930363.1
BGC0002487,staphylopine,BA000017.4
BGC0002488,bacillopaline,CP002869.1
BGC0002489,pseudopaline,AE004091.2
BGC0002490,yersinopine,AL590842.1
BGC0002491,myxochelin B|myxochelin A|pseudochelin A,JXXW01000072.1
BGC0002492,myxochelin B|myxochelin A,CP000113.1
BGC0002493,parabactin,CP000489.1
BGC0002494,vibriobactin,U52150.2
BGC0002495,photobactin,AY042783.1
BGC0002496,serratiochelin A|serratiochelin C|serratiochelin B,CP007439.1
BGC0002497,hexacosalactone A,MT994316.1
BGC0002498,desulfoclethramycin|clethramycin,MT994315.1
BGC0002499,enteromycin,MW367897.1
BGC0002500,NFAT-133,MW026651.1
BGC0002501,penigainamide A|penigainamide B|penigainamide C|adametizine A|FA2097|outovirin A|outovirin C|pretrichodermamide C,MT489695.1
BGC0002502,fumonisin B3|fumonisin B2|fumonisin B1,HQ622717.1
BGC0002503,chitinimide B|chitinimide F|chitinimide D|chitinimide A|chitinimide C|chitinimide E|chitinimide G,MW160162.1
BGC0002504,nocardiopsistin A|nocardiopsistin B|nocardiopsistin C,MT633092.1
BGC0002505,xenoacremone A,MT876600.1
BGC0002506,homopiloquinone|piloquinone,MN158712.1
BGC0002507,sporandol,MN832834.1
BGC0002508,8-azaguanine,MT543149.1
BGC0002509,montamide A|capsimycin|clifednamide A|frontalamide A|combamide A,MN817126.1
BGC0002510,youssoufene A1|youssoufene B1|youssoufene B2|youssoufene B3|youssoufene B4,MT459140.1
BGC0002511,biruloquinone,KE598559.1
BGC0002512,anabaenopeptin 788|anabaenopeptin 816|anabaenopeptin 802,MT670293.1
BGC0002513,6-methylcristazarin|cristazarin,KI911112.1
BGC0002514,julichrome Q6.6,MT799798.1
BGC0002515,solanapyrone A,RYYQ01000008.1
BGC0002516,prephenalenone|red perithecial pigment,SSHR01000379.1
BGC0002517,tripartilactam|niizalactam C,MN305323.1
BGC0002518,syringafactin A|syringafactin C,WIBD01000002.1
BGC0002519,20-epoxy-18-oxotryprostatin A|20-hydroxy-18-oxotryprostatin A,MT424560.1
BGC0002520,quinolidomicin A,LC572270.1
BGC0002521,putisolvin III|putisolvin VI|putisolvin V,MT511054.1
BGC0002522,viscosinamide A|pseudodesmin A,MT577358.1
BGC0002523,desertomycin B|desertomycin A|desertomycin G,LC529898.1
BGC0002524,bacicyclicin XIN-1,MT588114.1
BGC0002525,fusarubin|1233A|1233B|NG-391|lucilactaene,LC516401.1
BGC0002526,K-41A,MT318810.1
BGC0002527,vibrioferrin,CP005094.1
BGC0002528,aminochelin|azotochelin|protochelin,CP005094.1
BGC0002529,aminochelin|azotochelin|protochelin,CP005094.1
BGC0002530,brucebactin,AM040265.1
BGC0002531,cepaciachelin,CP000440.1
BGC0002532,anachelin,AP018166.1
BGC0002533,piscibactin,KP100338.1
BGC0002534,cahuitamycin A|cahuitamycin B|cahuitamycin C,KU363800.1
BGC0002535,"γ-poly-L-2,4-diaminobutyric acid",LC537598.1
BGC0002536,alazopeptin,NZ_JQMO01000003.1
BGC0002537,emeridone F,LC537469.1
